"Scenario","Response"
"Initiate Parking","Initiating parking mode."
"Spot Search","Searching for a suitable parking spot."
"Spot Found","Parking spot found. Would you like to park here?"
"Parallel Parking","Initiating parallel parking mode."
"Perpendicular Parking","Initiating perpendicular parking mode."
"Angle Parking","Initiating angle parking mode."
"Confirm Parking Spot","Is this parking spot satisfactory?"
"Parking Spot Too Small","The parking spot detected is too small."
"Automatic Parking","Automatic parking engaged."
"Manual Parking Override","Manual parking override engaged."
"Guided Parking","Guided parking assistance activated."
"Rear View Camera","Activating rear view camera."
"Sensor Monitoring","Monitoring parking sensors."
"Proximity Alert","Caution: Object detected on the right side."
"Parking Complete","Parking successful. You may now exit the vehicle."
"Exit Parking Spot","Exiting parking spot."
"Emergency Brake","Emergency brake activated due to obstacle detection."
"Adjust Parking Position","Adjusting parking position."
"Retry Parking","Retry parking in the detected spot?"
"Auto-Park Disabled","Auto-park feature disabled."
"Parking Brake Engaged","Parking brake engaged."
"Parking Payment","Processing parking payment."
"Reserved Parking Spot","Approaching reserved parking spot."
"Parking Spot Number","Your parking spot number is 34."
"Valet Parking Mode","Valet parking mode activated."
"Invalid Parking Spot","Invalid parking spot detected."
"Park Assist Unavailable","Park assist feature currently unavailable."
"Reset Parking Assist","Resetting parking assist system."
"Reattempt Parking","Reattempting parking."
"Adjust Parking Angle","Adjusting parking angle."
"Detecting Parking Lines","Detecting parking lines."
"Aligning Vehicle","Aligning vehicle within the parking spot."
"Confirm Parking Completion","Parking complete. Is the position satisfactory?"
"Unsuccessful Parking","Unsuccessful parking attempt. Would you like to retry?"
"Spot Occupied","Parking spot is occupied. Searching for another spot."
"Low Light Warning","Low light detected. Parking assist accuracy may be reduced."
"Parking Guide Lines","Displaying parking guide lines on screen."
"Proximity Warning Front","Proximity warning: object detected at front."
"Proximity Warning Rear","Proximity warning: object detected at rear."
"Proximity Warning Left","Proximity warning: object detected on left side."
"Proximity Warning Right","Proximity warning: object detected on right side."
"Adjust Mirror","Adjusting mirrors for better view."
"Activate Parking Lights","Activating parking lights."
"Parking Spot Dimensions","Parking spot dimensions are suitable."
"Overhead Clearance","Checking overhead clearance."
"Floor Clearance","Checking floor clearance."
"Nearby Vehicle Detected","Caution: Nearby vehicle detected."
"Manual Steering Recommended","Manual steering recommended for precise parking."
"Remote Parking","Remote parking activated."
"Remote Parking Monitoring","Monitoring remote parking."
"Exit Path Clear","Exit path is clear."
"Unauthorized Parking Spot","Unauthorized parking spot detected. Please move the vehicle."
"Expired Parking Time","Parking time expired. Please move the vehicle."
"Extend Parking Time","Would you like to extend the parking time?"
"Retrieve Parking History","Retrieving parking history."
"Retrieve Parking Receipt","Retrieving parking receipt."
"Rate Parking Spot","Would you like to rate this parking spot?"
