"Scenario","Response"
"Remote Start","Vehicle started remotely, awaiting further instructions."
"Remote Lock","Vehicle locked remotely."
"Remote Unlock","Vehicle unlocked remotely."
"Remote Climate Control","Cabin pre-conditioning initiated remotely."
"Remote Horn","Horn activated remotely."
"Remote Lights On","Exterior lights turned on remotely."
"Remote Lights Off","Exterior lights turned off remotely."
"Remote Trunk Open","Trunk opened remotely."
"Remote Trunk Close","Trunk closed remotely."
"Remote Window Down","Windows rolling down remotely."
"Remote Window Up","Windows rolling up remotely."
"Remote Music Play","Music playing remotely."
"Remote Music Pause","Music paused remotely."
"Remote Navigation Set","Navigation set remotely to [destination]."
"Remote Alarm Activation","Alarm activated remotely."
"Remote Alarm Deactivation","Alarm deactivated remotely."
"Remote Find My Car","Locating vehicle. Your vehicle is located at [coordinates]."
"Remote Vehicle Diagnostics","Initiating remote vehicle diagnostics."
"Remote Tire Pressure Check","Checking tire pressure remotely."
"Remote Battery Check","Checking battery status remotely."
"Remote Fuel Check","Checking fuel level remotely."
"Remote Engine Check","Remote engine check initiated."
"Remote Emergency Call","Emergency call initiated remotely."
"Remote SOS","SOS signal sent remotely."
"Remote Parking Assistance","Remote parking assistance activated."
"Remote Driving Mode Set","Driving mode set remotely to [mode]."
"Remote Adaptive Cruise Control","Adaptive cruise control set remotely."
"Remote Vehicle Shut Down","Vehicle shut down initiated remotely."
"Remote Seat Adjustment","Driver's seat adjusted remotely."
"Remote Mirror Adjustment","Mirrors adjusted remotely."
"Remote Wiper Activation","Windshield wipers activated remotely."
"Remote Garage Door Open","Garage door opened remotely."
"Remote Garage Door Close","Garage door closed remotely."
"Remote Child Lock Activation","Child lock activated remotely."
"Remote Child Lock Deactivation","Child lock deactivated remotely."
"Remote Valet Mode Activation","Valet mode activated remotely."
"Remote Valet Mode Deactivation","Valet mode deactivated remotely."
"Remote Panic Mode Activation","Panic mode activated remotely."
"Remote Panic Mode Deactivation","Panic mode deactivated remotely."
"Remote Send Text Message","Text message sent remotely."
"Remote Receive Text Message","Text message received remotely."
"Remote Set Speed Limit","Speed limit set remotely to [speed]."
"Remote Remove Speed Limit","Speed limit removed remotely."
"Remote Set Geofence","Geofence set remotely."
"Remote Remove Geofence","Geofence removed remotely."
"Remote Send Itinerary","Itinerary sent remotely."
"Remote Receive Itinerary","Itinerary received remotely."
"Remote Start Charging","Remote charging initiated."
"Remote Stop Charging","Remote charging stopped."
"Remote Schedule Charging","Charging scheduled remotely to start at [time]."
"Remote Cancel Charging Schedule","Charging schedule cancelled remotely."
"Remote Software Update","Software update initiated remotely."
"Remote Software Update Cancel","Software update cancelled remotely."
"Remote Vehicle Status Report","Generating vehicle status report remotely."
"Remote Send Vehicle to Service","Sending vehicle to service center remotely."
"Remote Recall Vehicle","Recalling vehicle to home location remotely."
