response_text,file_path
Hello! How may I assist you?,VoiceResponses\Hey_Nora\response_0.mp3
Hey there! What can I do for you?,VoiceResponses\Hey_Nora\response_1.mp3
Hi! How can I help today?,VoiceResponses\Hey_Nora\response_2.mp3
Good to hear from you! How can I assist?,VoiceResponses\Hey_Nora\response_3.mp3
Hello! Ready to assist you!,VoiceResponses\Hey_Nora\response_4.mp3
Hey! What can we do today?,VoiceResponses\Hey_Nora\response_5.mp3
Greetings! How may I help?,VoiceResponses\Hey_Nora\response_6.mp3
Hello there! Need assistance with something?,VoiceResponses\Hey_Nora\response_7.mp3
Hey! How can I be of service?,VoiceResponses\Hey_Nora\response_8.mp3
Hi there! What's on your mind?,VoiceResponses\Hey_Nora\response_9.mp3
