response_text,file_path
Ready when you are! What's the plan?,VoiceResponses\Ok_Nora\response_0.mp3
I'm here! What's next?,VoiceResponses\Ok_Nora\response_1.mp3
Ok! How can I assist you today?,VoiceResponses\Ok_Nora\response_2.mp3
Alright! What do you need help with?,VoiceResponses\Ok_Nora\response_3.mp3
Ok! Ready to assist!,VoiceResponses\Ok_Nora\response_4.mp3
Alright! What's on the agenda?,VoiceResponses\Ok_Nora\response_5.mp3
Ready to go! What can I do for you?,VoiceResponses\Ok_Nora\response_6.mp3
Here and ready! What do we have today?,VoiceResponses\Ok_Nora\response_7.mp3
Alrighty! How may I assist?,VoiceResponses\Ok_Nora\response_8.mp3
Ok! Let's get to it! What do you need?,VoiceResponses\Ok_Nora\response_9.mp3
